ID Mesin,TERMINAL LOCATION,SEKTOR,WEEK
S1AW10SR,BTM SM KAPITAPLZ 01,BATAM CENTRE,Week 1
S1AW1TSL,BTM ID PTSMOE 01,BATAM CENTRE,Week 1
S1AW1TSU,BTM PL NONGSATERMINAL 01,BATAM CENTRE,Week 1
S1AWAJ9M,BTM RS SANTA ELISABETH 01,BATAM CENTRE,Week 1
S1RH10SC,BTM PB MINIPUNGGUR CRM02,BATAM CENTRE,Week 1
S1RH1JIT,BTM CB BATAMKABIL 01,BATAM CENTRE,Week 1
S1RH1JS7,BTM MP BOTANIA 05,BATAM CENTRE,Week 1
S1RH1JSE,BTM SM MUSTAFAPLZA 01,BATAM CENTRE,Week 1
S1RH1JSX,BTM AM JASINTA PUNGGUR 01,BATAM CENTRE,Week 1
S1RH1T95,BTM PB NONGSA 01,BATAM CENTRE,Week 1
S1RH1T96,BTM CB BOTANIA 02,BATAM CENTRE,Week 1
S1RH1T9Z,BTM PB ISMADISALAM 01,BATAM CENTRE,Week 1
S1RH1TID,BTM MP TARAS 01,BATAM CENTRE,Week 1
S1RHAJ94,BTM PB ERAPERDANAKABIL 02,BATAM CENTRE,Week 1
S1RHAJ99,BTM PB MINIPUNGGUR 01,BATAM CENTRE,Week 1
S1RHAJ9B,BTM CB HANGNADIM 01,BATAM CENTRE,Week 1
S1RHAJIE,BTM PL TELAGA PUNGGUR 01,BATAM CENTRE,Week 1
S1RKAJSK,BTM CB BOTANIA CRM,BATAM CENTRE,Week 1
S1ROAJSF,BTM MP BOTANIA 2 01,BATAM CENTRE,Week 1
S1AW1JID,BTM TK MCDERMOTT 03,BENGKONG,Week 1
S1AW1TSO,BTM SM JDHBNGKONG 04,BENGKONG,Week 1
S1AW1TSR,BTM HT MARRIOTT 01,BENGKONG,Week 1
S1AW1TSW,BTM SM JDHBNGKONG 06,BENGKONG,Week 1
S1RH10S1,BTM ID MCP 01,BENGKONG,Week 1
S1RH10S4,BTM PL TERMINALHARBOUR 01,BENGKONG,Week 1
S1RH1JSO,BTM PB SEIPANAS 02,BENGKONG,Week 1
S1RH1T91,BTM SM JDHBNGKONG 03,BENGKONG,Week 1
S1RH1T9W,BTM IM PONDOKASRI 01,BENGKONG,Week 1
S1RH1TIF,BTM SM PTAKUTAHU 01,BENGKONG,Week 1
S1RHA09P,BTM SM BENGKONGINDAH 01,BENGKONG,Week 1
S1RHAJ9F,BTM SM JDHBNGKONG 05,BENGKONG,Week 1
S1RHAJI6,BTM IM BENGKONG KOLAM 01,BENGKONG,Week 1
S1RHAJIG,BTM IM BENGKONGRATU 01,BENGKONG,Week 1
S1RKAJS7,BTM PB BENGKONG SARMEN,BENGKONG,Week 1
S1RKAJS8,BTM GD BENGKONG HARAPAN,BENGKONG,Week 1
S1RKAJSO,BTM PL BP BTAMPAR 01,BENGKONG,Week 1
S1ROAJSE,BTM RM GOLDENPRAWN 01,BENGKONG,Week 1
S1AW1JI3,BTM ID PT MCDERMOTT 01,BENGKONG,Week 1
S1RH1JIS,BTM ONE BATAM MALL,LEGENDA,Week 1
S1AW1J94,BTM GV KPKNL BATAM 01,LEGENDA,Week 1
S1AW1JI8,BTM GV BPBATAM 01,LEGENDA,Week 1
S1AW1JIP,BTM IM AIRMAS10 01,LEGENDA,Week 1
S1AW1TSM,BTM GD KPPOSBATAM 01,LEGENDA,Week 1
S1AWAJ9E,BTM PB KURNIAJAYAALAM 03,LEGENDA,Week 1
S1RH10SL,BTM CB GRAND NIAGA MAS 01,LEGENDA,Week 1
S1RH1JSG,BTM CB PALMSPRING 01,LEGENDA,Week 1
S1RH1JSI,BTM CB KWSANTUNAS 01,LEGENDA,Week 1
S1RH1T93,BTM CB KWSANTUNAS 02,LEGENDA,Week 1
S1RH1T9F,BTM PB MARCELIAMJESTY 02,LEGENDA,Week 1
S1RH1TI5,BTM SM MITRARAYA 01,LEGENDA,Week 1
S1RHA0IE,BTM PB TATATMURDAYAL 02,LEGENDA,Week 1
S1RHAJ9K,BTM PL TERMFERICENTER 01,LEGENDA,Week 1
S1RHAJ9Y,BTM IM TRIKRSAEKUALTA 01,LEGENDA,Week 1
S1RK10SU,BTM IM MEDITERANIA 01,LEGENDA,Week 1
S1RKAJSA,BTM CB GRAND NIAGA MAS 02,LEGENDA,Week 1
S1AW10SJ,BTM RS BUDIKEMULIAAN 01,NAGOYA,Week 1
S1AW1J98,BTM HT BIZHOTEL 01,NAGOYA,Week 1
S1AW1TST,BTM ID SATNUSAPRSADA 01,NAGOYA,Week 1
S1AW1TSY,BTM TK NAGOYATHAMRIN 01,NAGOYA,Week 1
S1AW1TSZ,BTM HT BATAM CITY 01,NAGOYA,Week 1
S1AWAJ9N,BTM MP CITYSQUAREMALL 02,NAGOYA,Week 1
